Disease,Primary Antibiotic,Alternate Antibiotic 1,Alternate Antibiotic 2,Reason for Recommendation
whooping_cough,Doxycycline,Clindamycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
tuberculosis,Azithromycin,Metronidazole,Rifampin,Recommended based on clinical guidelines and resistance patterns.
bacterial_endocarditis,Amoxicillin,Erythromycin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
chlamydia,Doxycycline,Clindamycin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
scarlet_fever,Azithromycin,Erythromycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
skin_abscess,Ceftriaxone,Ciprofloxacin,Rifampin,Chosen for its targeted activity and minimal side effects.
typhoid_fever,Amoxicillin,Linezolid,Rifampin,Recommended based on clinical guidelines and resistance patterns.
urinary_tract_infection,Amoxicillin,Erythromycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
campylobacteriosis,Doxycycline,Metronidazole,Gentamicin,Effective against common pathogens causing this disease.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Azithromycin,Erythromycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
diphtheria,Amoxicillin,Erythromycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
bacterial_meningitis,Doxycycline,Metronidazole,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
strep_throat,Doxycycline,Clindamycin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
pyelonephritis,Vancomycin,Linezolid,Ampicillin,Chosen for its targeted activity and minimal side effects.
sinusitis,Doxycycline,Ciprofloxacin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
cholera,Vancomycin,Metronidazole,Rifampin,Chosen for its targeted activity and minimal side effects.
legionnaires_disease,Doxycycline,Erythromycin,Ampicillin,Effective against common pathogens causing this disease.
ear_infection,Vancomycin,Clindamycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
osteomyelitis,Vancomycin,Clindamycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
whooping_cough,Azithromycin,Metronidazole,Rifampin,Chosen for its targeted activity and minimal side effects.
tuberculosis,Amoxicillin,Linezolid,Levofloxacin,Effective against common pathogens causing this disease.
bacterial_endocarditis,Vancomycin,Metronidazole,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
chlamydia,Vancomycin,Ciprofloxacin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
scarlet_fever,Vancomycin,Ciprofloxacin,Rifampin,Chosen for its targeted activity and minimal side effects.
skin_abscess,Ceftriaxone,Metronidazole,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
typhoid_fever,Ceftriaxone,Metronidazole,Gentamicin,Chosen for its targeted activity and minimal side effects.
urinary_tract_infection,Vancomycin,Erythromycin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
campylobacteriosis,Vancomycin,Linezolid,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Doxycycline,Clindamycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
diphtheria,Azithromycin,Metronidazole,Levofloxacin,Chosen for its targeted activity and minimal side effects.
bacterial_meningitis,Azithromycin,Linezolid,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
strep_throat,Azithromycin,Metronidazole,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
pyelonephritis,Ceftriaxone,Linezolid,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
sinusitis,Doxycycline,Clindamycin,Ampicillin,Chosen for its targeted activity and minimal side effects.
cholera,Amoxicillin,Linezolid,Tetracycline,Chosen for its targeted activity and minimal side effects.
legionnaires_disease,Amoxicillin,Ciprofloxacin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
ear_infection,Doxycycline,Clindamycin,Levofloxacin,Effective against common pathogens causing this disease.
osteomyelitis,Doxycycline,Clindamycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
whooping_cough,Amoxicillin,Ciprofloxacin,Ampicillin,Effective against common pathogens causing this disease.
tuberculosis,Azithromycin,Erythromycin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
bacterial_endocarditis,Ceftriaxone,Ciprofloxacin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
chlamydia,Amoxicillin,Linezolid,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
scarlet_fever,Doxycycline,Erythromycin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
skin_abscess,Amoxicillin,Metronidazole,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
typhoid_fever,Doxycycline,Linezolid,Rifampin,Minimizes risk of resistance while effectively treating the infection.
urinary_tract_infection,Ceftriaxone,Ciprofloxacin,Rifampin,Effective against common pathogens causing this disease.
campylobacteriosis,Azithromycin,Clindamycin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Ceftriaxone,Ciprofloxacin,Rifampin,Effective against common pathogens causing this disease.
diphtheria,Amoxicillin,Linezolid,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
bacterial_meningitis,Ceftriaxone,Ciprofloxacin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
strep_throat,Ceftriaxone,Ciprofloxacin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
pyelonephritis,Amoxicillin,Linezolid,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
sinusitis,Ceftriaxone,Linezolid,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
cholera,Azithromycin,Linezolid,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
legionnaires_disease,Ceftriaxone,Erythromycin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
ear_infection,Amoxicillin,Ciprofloxacin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
osteomyelitis,Amoxicillin,Clindamycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
whooping_cough,Azithromycin,Clindamycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
tuberculosis,Ceftriaxone,Ciprofloxacin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_endocarditis,Vancomycin,Ciprofloxacin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
chlamydia,Ceftriaxone,Metronidazole,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
scarlet_fever,Azithromycin,Erythromycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
skin_abscess,Doxycycline,Erythromycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
typhoid_fever,Vancomycin,Erythromycin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
urinary_tract_infection,Doxycycline,Metronidazole,Rifampin,Effective against common pathogens causing this disease.
campylobacteriosis,Ceftriaxone,Linezolid,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Doxycycline,Clindamycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
diphtheria,Azithromycin,Erythromycin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
bacterial_meningitis,Amoxicillin,Ciprofloxacin,Ampicillin,Chosen for its targeted activity and minimal side effects.
strep_throat,Vancomycin,Ciprofloxacin,Gentamicin,Effective against common pathogens causing this disease.
pyelonephritis,Doxycycline,Linezolid,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
sinusitis,Ceftriaxone,Ciprofloxacin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
cholera,Azithromycin,Erythromycin,Tetracycline,Effective against common pathogens causing this disease.
legionnaires_disease,Vancomycin,Erythromycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
ear_infection,Amoxicillin,Clindamycin,Gentamicin,Effective against common pathogens causing this disease.
osteomyelitis,Ceftriaxone,Clindamycin,Rifampin,Effective against common pathogens causing this disease.
whooping_cough,Amoxicillin,Clindamycin,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
tuberculosis,Vancomycin,Clindamycin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
bacterial_endocarditis,Amoxicillin,Ciprofloxacin,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
chlamydia,Vancomycin,Ciprofloxacin,Gentamicin,Effective against common pathogens causing this disease.
scarlet_fever,Vancomycin,Erythromycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
skin_abscess,Azithromycin,Clindamycin,Rifampin,Effective against common pathogens causing this disease.
typhoid_fever,Doxycycline,Clindamycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
urinary_tract_infection,Ceftriaxone,Erythromycin,Ampicillin,Chosen for its targeted activity and minimal side effects.
campylobacteriosis,Doxycycline,Clindamycin,Ampicillin,Chosen for its targeted activity and minimal side effects.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Azithromycin,Erythromycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
diphtheria,Doxycycline,Linezolid,Levofloxacin,Chosen for its targeted activity and minimal side effects.
bacterial_meningitis,Vancomycin,Ciprofloxacin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
